Scientific Name,Species Name,Species Code,BC List,Provincial FRPA,COSEWIC,SARA,Upper Elk,Flathead
Catostomus catostomus,Longnose Sucker,LSU,Yellow,--,--,--,Yes,Yes
Catostomus columbianus,Bridgelip Sucker,BSU,Yellow,--,--,--,Yes,--
Catostomus commersonii,White Sucker,WSU,Yellow,--,--,--,Yes,--
Catostomus macrocheilus,Largescale Sucker,CSU,Yellow,--,--,--,--,Yes
Cottus cognatus,Slimy Sculpin,CCG,Yellow,--,--,--,--,Yes
Cottus confusus,Shorthead Sculpin,CCN,Blue,--,SC (Nov 2010),1-SC,--,Yes
Cottus hubbsi,Mottled Sculpin,CBA,Blue,--,SC (Nov 2010),1-SC (Jun 2003),--,Yes
Cottus sp. 9,Rocky Mountain Sculpin,CRM,Red,--,SC (Apr 2010),1-SC (May 2017),--,Yes
Oncorhynchus clarkii,Cutthroat Trout,CT,No Status,--,--,--,Yes,Yes
Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,WCT,Blue,Y (Jun 2006),SC (Nov 2016),1-SC (Feb 2010),Yes,Yes
Oncorhynchus mykiss,Rainbow Trout,RB,Yellow,--,--,--,Yes,Yes
Oncorhynchus nerka,Kokanee,KO,Yellow,--,--,--,Yes,Yes
Prosopium williamsoni,Mountain Whitefish,MW,Yellow,--,--,--,Yes,Yes
Rhinichthys cataractae,Longnose Dace,LNC,Yellow,--,--,--,Yes,Yes
Richardsonius balteatus,Redside Shiner,RSC,Yellow,--,--,--,Yes,--
Salvelinus confluentus pop. 26,Bull Trout,BT,Blue,--,--,--,Yes,Yes
Salvelinus fontinalis,Brook Trout,EB,Exotic,--,--,--,Yes,--
--,Cutthroat/Rainbow cross,CRS,--,--,--,--,Yes,--
--,Sculpin (General),CC,--,--,--,--,--,Yes
--,Sucker (General),SU,--,--,--,--,Yes,Yes
